day,run_id,n_students,n_teachers,class_size_cap,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
90,32,120,6,18,30.0,0.05,0.002,90,18002,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.9555057816787512,0.9498769854407288,0.9560847368908547,0.9600757520617279,0.9967077847299031,0.9937936231203559,1.0,1.0,51,0.28633333333333333
1,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.4152005730396858,0.15874409251359584,0.3895648985506943,0.6992245908391026,0.4537681156384787,0.20413194028960863,0.43760890047490797,0.736340567855869,47,0.2673333333333333
2,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.43779114302625916,0.19751847515186466,0.4150591359428093,0.7081426128016051,0.4637681156384788,0.21413194028960864,0.447608900474908,0.746340567855869,39,0.22433333333333333
3,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.45785360620515997,0.2279036851300445,0.43670253341575505,0.7149865081270989,0.47373623037578105,0.22413194028960864,0.457608900474908,0.756340567855869,50,0.2743333333333334
4,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.47777263539775894,0.25002934377589114,0.4532602788595412,0.7262883179134751,0.4836528970424477,0.23413194028960865,0.467608900474908,0.766340567855869,45,0.25799999999999995
5,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.4969123214094229,0.27640814446796264,0.4762960587605054,0.7379181938085768,0.4935695637091143,0.24413194028960866,0.477608900474908,0.776340567855869,44,0.25199999999999995
6,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.5155181381395952,0.30050705162812574,0.49938680843338157,0.7461309730613375,0.5033528970424477,0.25413194028960867,0.487608900474908,0.786340567855869,45,0.2566666666666667
7,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.5315406598802375,0.3219404844670547,0.516276140994752,0.7535113736064788,0.5132695637091144,0.2641319402896087,0.49760890047490797,0.796340567855869,57,0.32566666666666666
8,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.5487981416412075,0.35341984451867026,0.533297742048716,0.7600144716366002,0.523186230375781,0.2741319402896087,0.507608900474908,0.806340567855869,46,0.26200000000000007
9,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.56494986795934,0.3737589701332264,0.5513955570049136,0.7687671794579592,0.5331028970424476,0.2841319402896087,0.517608900474908,0.8163405678558691,50,0.273
10,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.5802686268438892,0.3958656997308626,0.5692114092751934,0.7746243510660145,0.5430195637091144,0.2941319402896087,0.527608900474908,0.8263405678558691,53,0.2916666666666667
11,33,120,6,18,30.0,0.05,0.002,90,18003,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.5964722262513118,0.4203982249608103,0.5895584515431153,0.78319608472507,0.5529362303757812,0.3041319402896087,0.5376089004749081,0.8363405678558691,41,0.22899999999999998
